Classification,Category,Subcategory,Definition,Compliant (Yes-1/No-0),Notes
ph-core recommendations,Workflow,General,File formats: Use community accepted modern file formats such as CRAM. ,,
ph-core recommendations,Workflow,General,DOIs: Pipelines should have digital object identifiers (DOIs). ,,
ph-core recommendations,Workflow,General,"Workflow size: Not too big, not too small. ",,
ph-core recommendations,Workflow,General,Samplesheets should identify all files required as inputs for workflows. Avoid passing directories.,,
ph-core recommendations,Workflow,General,Variable names should only be used once and should be descriptive.,,
ph-core recommendations,Workflow,General,Any parameters you specify in a nextflow.config files should be defined in the schema.,,
ph-core recommendations,Workflow,General,"Ensure all local, ph-core, and nf-core modules in the pipeline are being used.",,
ph-core recommendations,Workflow,General,All debug code should be removed,,
ph-core recommendations,Workflow,General,Reused code should be made into a function where possible,,
ph-core recommendations,Workflow,Documentation,Confirm all links in documentation are correct and valid.,,
ph-core recommendations,Subworkflow,General,"When declaring a variable, use def for consistency. (Note: scoping issues using nextflow version 24 might occur when using def in some scopes)_SUB",,
ph-core recommendations,Subworkflow,General,Avoid complex nested logic_SUB,,
ph-core recommendations,Subworkflow,General,If a file is being parsed multiple times streamline code where possible,,
ph-core recommendations,Subworkflow,General,Subworkflow must contain at least two modules,,
ph-core recommendations,Subworkflow,General,Subworkflow should utilze native nextflow toolings where possible,,
ph-core recommendations,Subworkflow,General,Remove .first() operator for channels with a single value,,
ph-core recommendations,Subworkflow,General,Variable names should only be used once and should be descriptive._SUB,,
ph-core recommendations,Subworkflow,General,All debug code should be removed_SUB,,
ph-core recommendations,Subworkflow,General,Reused code should be made into a function where possible_SUB,,
ph-core recommendations,Subworkflow,Documentation,Each input and output channel SHOULD have a comment describing the output structure of the channel,,
ph-core recommendations,Subworkflow,Documentation,Each input and output channel structure should also be described in the meta.yml in the description entry.,,
ph-core recommendations,Subworkflow,Testing,Tags for any dependent modules must be specified to ensure changes to upstream modules will re-trigger tests for the current subworkflow,,
ph-core recommendations,Subworkflow,Testing,"The assertAll() function must be used to specify an assertion, and there must be a minimum of one success assertion and versions in the snapshot_SUB",,
ph-core recommendations,Subworkflow,Testing,"All output channels should be present in the nf-test snapshot file, or at a minimum, it must be verified that the files exist.",,
ph-core recommendations,Subworkflow,Testing,There should be a test and assertions for each type of input and output_SUB,,
ph-core recommendations,Subworkflow,Testing,Test names should describe the test dataset and configuration used._SUB,,
ph-core recommendations,Subworkflow,I/O options,Input channel declarations must be defined for all possible input files that will be required by the subworkflow (i.e. both required and optional files) within the take block.,,
ph-core recommendations,Subworkflow,I/O options,"Named file extensions should generally be emitted for all output channels(e.g. path ""*.txt"", emit:txt), but there can be exceptions, such as when the output is a dataset/directory(e.g., $prefix:directory from nextclade_datasetget)_SUB",,
ph-core recommendations,Subworkflow,I/O options,"Optional inputs are not currently supported by Nextflow. However, passing an empty list ([]) instead of a file as a subworkflow parameter can be used to work around this issue",,
ph-core recommendations,Subworkflow,Naming conventions,Directory structure for the subworkflow name must be all lowercase,,
ph-core recommendations,Subworkflow,Naming conventions,All parameter names must follow the snake_case convention,,
ph-core recommendations,Subworkflow,Naming conventions,All function names must follow the camelCase convention,,
ph-core recommendations,Subworkflow,Naming conventions,Channel names must follow snake_case convention and be all lower case,,
ph-core recommendations,Subworkflow,Naming conventions,Input channel names should signify the input object type.,,
ph-core recommendations,Subworkflow,Naming conventions,"Output channel names SHOULD only be named based on the major output file of that channel (i.e, an output channel of [[meta], bam] should be emitted as bam, not ch_bam)",,
ph-core recommendations,Subworkflow,Parameters,Named params defined in the parent workflow must not be assumed to be passed to the subworkflow to allow developers to call their parameters whatever they want. ,,
ph-core recommendations,Module,General,Do not declare error strategies in a separate modules config file,,
ph-core recommendations,Module,General,All mandatory input files included in input channel definitions,,
ph-core recommendations,Module,General,All optional input files included in input channel definitions,,
ph-core recommendations,Module,General,Non-mandatory command line tool non-file arguments must be provided as a string via the $task.ext.args variable ,,
ph-core recommendations,Module,General,"Each command must have an $args variable. $args variables (e.g. $args, $args2, $args3) must correspong to order of tools presented in the command line",,
ph-core recommendations,Module,General,The process definition must not change the when statement,,
ph-core recommendations,Module,General,"If needed,  use the shell ""tee"" command to capturing STDOUT and STDERR.",,
ph-core recommendations,Module,General,Stub block must exist for all modules,,
ph-core recommendations,Module,General,Module definitions with process blocks must be in order and no repeated “script:” blocks,,
ph-core recommendations,Module,General,Non-file mandatory commands should be a value channel,,
ph-core recommendations,Module,General,"Limit multi-command piping unless there is a run-time, storage advantage in piping implementation ",,
ph-core recommendations,Module,General,"Inputs and outputs should be compressed, where applicable",,
ph-core recommendations,Module,General,"If a tool does not exit with the expected exit code 0 upon successful use of the tool, use the || operator to run another useful command when the exit code is not 0 (for example, testing if a file is not size 0).",,
ph-core recommendations,Module,General,All code must be aligned to follow the ‘Harshil Alignment’ format,,
ph-core recommendations,Module,General,"The recommended procedure is, once the alternative is available on nf-core modules, add a message to the top of the module code saying this module is deprecated, and an assert in the code body to print a deprecation message",,
ph-core recommendations,Module,General,Use only one tool per module if posible,,
ph-core recommendations,Module,General,"If there is a conda declaration, ensure it is adheres to nf-core standards",,
ph-core recommendations,Module,Documentation,Each module must have a meta.yaml in the same directory as the main.nf of the module itself,,
ph-core recommendations,Module,Documentation,Tools section must list every tool used in the module,,
ph-core recommendations,Module,Documentation,"Tools section must have a args_id: field for every tool in the module that describes which $args ($args2, $args3) variable is used for that specific module.",,
