Classification,Category,Subcategory,Definition,Compliant (Yes-1/No-0),Notes
ph-core requirements,Workflow,General,Workflow specificity: There should only be a single pipeline per data / analysis type. ,,
ph-core requirements,Workflow,General,Workflow name: Names should be lower case and without punctuation. ,,
ph-core requirements,Workflow,General,Use the template: All nf-core pipelines must be built using the nf-core template and pipeline initialization with nf-core create (nf-core/tools version 3.2.0).,,
ph-core requirements,Workflow,General,"Remove nf-core branding upon workflow creation selecting ""Custom"" in the nf-core pipelines create UI",,
ph-core requirements,Workflow,Documentation,"References to the repository name should be consistent throughout the document. For example, cdcGOV OR cdcENT.",,
ph-core requirements,Workflow,General,"Software license: Pipelines must be open source, released with the MIT license. ",,
ph-core requirements,Workflow,General,Docker support: Software must be bundled using Docker and versioned. ,,
ph-core requirements,Workflow,General,Semantic versioning: Pipelines must use stable release tags. ,,
ph-core requirements,Workflow,General,Standardized parameters: Strive to have standardized usage. ,,
ph-core requirements,Workflow,General,Minimum inputs: Pipelines should be able to run with as little input as possible. ,,
ph-core requirements,Workflow,General,"Use nf-core git branches: Use master, dev, and TEMPLATE. Naming convention main is allowable for master.  ",,
ph-core requirements,Workflow,General,"Presence of directories as applicable: assets, bin, conf, data, docs, libs. ",,
ph-core requirements,Workflow,Documentation,Publication credit: Pipeline publications should acknowledge the nf-core community. ,,
ph-core requirements,Workflow,Documentation,All public health pipelines should be identified as part of the ph-core namespace in the README. ,,
ph-core requirements,Workflow,Testing,Continuous integration testing: Pipelines must run CI tests in GitHub Actions. ,,
ph-core requirements,Workflow,Testing,Pass lint tests: The pipeline must not have any undocumented failures in the nf-core lint tests. ,,
ph-core requirements,Workflow,Testing,Testing: Use nf-test to test pipeline completes successfully with valid outputs using a minimal example. (for more info watch: https://www.youtube.com/watch?v=VaKcd_qgBJc).,,
ph-core requirements,Workflow,Testing,Presence of nf-linting in GitHub Actions. ,,
ph-core requirements,Workflow,Testing,Utilization of nf-tools for managing version control and configuration settings within GitHub Actions workflows.,,
ph-core requirements,Subworkflow,General,Index referencing should use column names instead of positional indexing,,
ph-core requirements,Subworkflow,General,Presence of subworkflows directory when subworkflows are needed.,,
ph-core requirements,Module,General,Module container references are to specific version of container (not 'latest').,,
ph-core requirements,Module,General,"Only one process defined within each individual module. (e.g., https://nf-co.re/events/2021/bytesize-5-dsl2-module-development)",,
ph-core requirements,Module,General,"For meta fields, using the standard meta.id or meta.single_end is encouraged. Non-standard fields can be used, but they should be documented with justifications in the checklist",,
ph-core requirements,Module,General,"Each module must emit a versions.yml file containing the version number for each tool. Leading ""v"" must be removed. For software unable to output version number, enter it manually. For unversioned software, use Git SHA commit id.",,
ph-core requirements,Module,General,"Modules should be stored in the modules dir, and local modules should follow the same dir structure and naming conventions as nf-core modules",,
ph-core requirements,Module,Testing,"Testing data for custom modules should be accessible (e.g., https://github.com/nf-core/test-datasets).",,
ph-core requirements,Module,General,"Parse tabular data with Nextflow operators (e.g., wgsnp metadata handling w/collectFile) where possible. Use of safe and robust indexing (e.g., by field name) within bin scripts. ",,
ph-core requirements,Workflow,General,Modules/containers must utilize actively maintained software and tool versions and avoid deprecated/old packages to ensure long-term viability,,
ph-core requirements,Workflow,General,Inputs and outputs are properly channelized and atomized (no passing directories instead of the actual file itself),,
ph-core requirements,Scripts,General,"Place scripts in bin/, add a shebang, make them executable, and call them directly in Nextflow",,
